,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975,72.5475,64.6225,58.677499999999995,63.794999999999995,43.6,54.597500000000004,62.275000000000006,89.79499999999999,71.5575,73.4675,56.3275,65.5275,64.94000000000001,63.4825,62.995,63.145,66.52250000000001,53.9525,70.1775,64.0425,68.0,61.91250000000001,57.055,73.0875,67.3425,57.2325,64.1,46.705,65.53999999999999,61.747499999999995,57.644999999999996,77.95,68.13000000000001,64.38,64.98,52.65,52.265,71.47749999999999,64.965,71.43499999999999,66.78750000000001,68.4375,57.447500000000005,56.877500000000005,73.49499999999999,68.055,47.575,63.2475,64.49499999999999,50.572500000000005
1976,77.4475,72.0575,60.73500000000001,69.8725,51.74,59.0775,66.2275,83.3725,71.34,75.5475,55.522499999999994,68.7525,71.2325,65.29749999999999,70.77250000000001,68.49000000000001,69.27,59.3975,69.85000000000001,69.7825,69.28750000000001,64.17500000000001,63.004999999999995,75.47,70.76000000000002,63.47,68.335,59.155,64.38,63.637499999999996,62.7525,74.5625,70.1575,72.9675,69.6,59.09499999999999,59.3525,75.47,68.995,74.685,66.4475,70.0,62.3875,62.94,83.875,70.0975,54.415,66.66,66.805,57.885
1977,85.5775,77.7825,65.5775,77.305,64.8575,68.0825,69.2575,82.86749999999999,74.795,77.54750000000001,60.12500000000001,76.88250000000001,83.89250000000001,73.535,79.505,76.81,74.815,64.73,81.6425,74.855,72.63,69.73499999999999,70.76249999999999,79.425,77.48,73.5975,76.235,64.44500000000001,72.98750000000001,66.9575,72.22,81.96499999999999,76.7125,81.39999999999999,77.05250000000001,66.15,72.0875,79.735,73.71000000000001,79.66499999999999,73.235,77.3575,70.04,72.4275,87.845,76.1625,65.06,77.9575,76.92,66.795
1978,92.5325,82.63000000000001,76.56,84.3825,77.3275,82.02000000000001,82.3775,86.135,82.83250000000001,84.315,68.125,88.785,97.695,85.3275,90.7,86.8375,86.5625,76.61749999999999,89.5,84.9075,82.875,81.1375,82.8375,89.56500000000001,89.24,89.9325,84.57750000000001,81.38749999999999,80.44749999999999,75.10000000000001,80.08,84.785,85.0075,86.725,87.4,78.8375,86.22749999999999,86.1925,83.9025,86.47999999999999,83.0625,86.235,80.665,85.54,92.47,84.925,81.0725,84.92,88.83,77.8375
1979,102.6975,94.235,93.41250000000001,97.6825,90.7025,95.97,99.16,91.5225,93.5975,91.615,84.4225,96.3175,99.935,96.255,100.05,95.60999999999999,97.5525,93.19500000000001,103.35999999999999,95.19,95.67750000000001,96.475,95.48499999999999,99.875,99.47500000000001,99.0475,95.625,97.705,92.55,89.59499999999998,92.6925,96.2,93.6875,98.82249999999999,98.46000000000001,91.94,97.56,95.7375,94.44,96.55,92.9425,94.11250000000001,93.195,97.3375,96.435,92.935,94.03,90.4725,98.7675,93.31
1980,105.6875,86.38749999999999,103.24499999999999,104.3125,104.44749999999999,103.91,102.88499999999999,106.7,103.83250000000001,101.26499999999999,102.5275,100.355,100.6525,100.3475,99.9225,102.17,101.9,100.83749999999999,104.295,103.92249999999999,105.66250000000001,101.5975,103.31750000000001,101.505,105.4875,100.4375,102.7775,103.3775,98.85499999999999,101.61000000000001,100.47999999999999,108.27250000000001,100.57,100.405,101.255,101.0175,101.35249999999999,99.635,101.525,104.42750000000001,101.6825,99.935,103.83250000000001,101.3625,104.0075,102.4225,101.44749999999999,106.8125,101.87,98.165
1981,108.74499999999999,109.1225,111.8725,107.69,114.49,111.07000000000001,110.4,109.2875,111.88,109.06,84.08000000000001,106.11,105.72,104.50750000000001,94.545,102.8425,105.31,109.8575,115.98750000000001,112.255,119.2525,104.44749999999999,103.155,103.22,103.11000000000001,102.75750000000001,101.88999999999999,114.48500000000001,101.36,106.385,111.23249999999999,112.935,105.5375,106.405,102.94,108.3075,95.33500000000001,102.515,102.03,114.52499999999999,95.82,104.59750000000001,113.3525,109.33749999999999,96.08999999999999,106.8,104.17750000000001,101.24249999999999,99.97,108.0125
1982,109.9875,134.8725,108.9975,107.6675,116.4,122.5375,112.02250000000001,113.1125,121.31,114.79,101.185,105.255,102.1875,103.44749999999999,93.74000000000001,104.86749999999999,106.53999999999999,115.065,116.3875,113.5575,126.31,97.5675,107.81,106.8375,103.2175,108.19,107.88000000000001,121.3475,105.3775,111.07249999999999,125.14500000000001,129.2725,109.41000000000001,85.98,101.1925,119.14750000000001,98.105,105.7825,104.93,119.16250000000001,101.2025,106.4675,125.0375,110.94500000000001,115.2525,108.365,103.73,96.13666666666667,95.30499999999999,110.97
1983,115.1725,141.1325,117.0025,117.0675,117.715,125.27000000000001,122.4875,122.3125,124.82000000000001,119.4075,106.7875,106.23499999999999,105.01500000000001,105.5075,98.6975,107.45500000000001,109.595,116.4075,122.755,116.11250000000001,140.1275,96.52000000000001,112.3175,113.14750000000001,109.5275,106.575,110.4525,118.07000000000001,113.165,115.71499999999999,125.605,136.8375,113.31250000000001,101.47,104.975,125.32499999999999,99.1825,111.1125,115.8275,121.89250000000001,105.6675,111.7975,127.2525,113.79249999999999,117.995,117.7825,105.54,96.0175,105.4125,105.46
1984,122.70750000000001,149.23499999999999,121.2175,120.22749999999999,121.18,125.685,137.3475,130.6175,127.45250000000001,126.175,110.72,108.55499999999999,110.565,106.7675,99.89499999999998,108.085,112.38000000000001,116.07250000000002,138.41000000000003,122.72500000000001,169.9725,97.36,114.665,115.3225,116.6225,117.28,111.81500000000001,117.03,129.635,131.9925,125.07499999999999,159.69,121.66,113.9075,107.0,120.6825,97.9525,116.845,124.395,125.3975,112.3225,114.25999999999999,128.165,113.2,124.6575,123.6675,108.64,95.0325,107.0425,98.4775
